"group"	"objectID"	"neededResearches"	"shieldCost"	"shieldValue"	"reloadTime"	"shieldMeshName"	"shieldMeshViewIndex"
"SMALLGENUCS6000S,MEDIUMGENUCS6000M,BIGGENUCS6000B"	MEDIUMGENUCS6000M	"RES_UCS_MGen"	600	4000	15	"NEMPS2"	1
"SMALLGENUCS6000S,MEDIUMGENUCS6000M,BIGGENUCS6000B"	BIGGENUCS6000B	"RES_UCS_HGen"	1200	6000	10	"NEMPS3"	1
"SMALLGENUCS600S,MEDIUMGENUCS600M,BIGGENUCS600B"	SMALLGENUCS600S	"RES_UCS_SGen"	30	200	20	"NEMPS1"	1
"SMALLGENUCS600S,MEDIUMGENUCS600M,BIGGENUCS600B"	MEDIUMGENUCS600M	"RES_UCS_MGen"	60	400	15	"NEMPS2"	1
"SMALLGENUCS600S,MEDIUMGENUCS600M,BIGGENUCS600B"	BIGGENUCS600B	"RES_UCS_HGen"	120	600	10	"NEMPS3"	1
"SMALLGENUCS7500S,MEDIUMGENUCS7500M,BIGGENUCS7500B"	SMALLGENUCS7500S	"RES_UCS_SGen"	375	2500	20	"NEMPS1"	1
"SMALLGENUCS7500S,MEDIUMGENUCS7500M,BIGGENUCS7500B"	MEDIUMGENUCS7500M	"RES_UCS_MGen"	750	5000	15	"NEMPS2"	1
"SMALLGENUCS7500S,MEDIUMGENUCS7500M,BIGGENUCS7500B"	BIGGENUCS7500B	"RES_UCS_HGen"	1500	7500	10	"NEMPS3"	1
"SMALLGENUCS9000S,MEDIUMGENUCS9000M,BIGGENUCS9000B"	SMALLGENUCS9000S	"RES_UCS_SGen"	450	3000	20	"NEMPS1"	1
"SMALLGENUCS9000S,MEDIUMGENUCS9000M,BIGGENUCS9000B"	MEDIUMGENUCS9000M	"RES_UCS_MGen"	900	6000	15	"NEMPS2"	1
"SMALLGENUCS9000S,MEDIUMGENUCS9000M,BIGGENUCS9000B"	BIGGENUCS9000B	"RES_UCS_HGen"	1800	9000	10	"NEMPS3"	1
"SMALLGENUCS900S,MEDIUMGENUCS900M,BIGGENUCS900B"	SMALLGENUCS900S	"RES_UCS_SGen"	45	300	20	"NEMPS1"	1
"SMALLGENUCS900S,MEDIUMGENUCS900M,BIGGENUCS900B"	MEDIUMGENUCS900M	"RES_UCS_MGen"	90	600	15	"NEMPS2"	1
"SMALLGENUCS900S,MEDIUMGENUCS900M,BIGGENUCS900B"	BIGGENUCS900B	"RES_UCS_HGen"	180	900	10	"NEMPS3"	1
