"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"explosionTicks"	"explosionFlags"
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB3LC	""	"PYEXP_B3LC"	0	0	0	0	"SND_EXP_BB"	""	""	""	0	0	0	0	0	0	0	32	1
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB4LC	""	"PYEXP_B4LC"	0	0	0	0	"SND_EXP_BB"	""	""	""	0	0	0	0	0	0	0	24	1
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB5LC	""	"PYEXP_B5LC"	0	0	0	0	"SND_EXP_BB"	""	""	""	0	0	0	0	0	0	0	32	1
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB6LC	""	"PYEXP_B6LC"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB7LC	""	"PYEXP_B7LC"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	24	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB8LC	""	"PYEXP_B8LC"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	24	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB9LC	""	"PYEXP_B9LC"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	24	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_RUIN_S1	""	"PYEXP_RUIN_S"	0	0	0	0	"SND_EXP_BS"	""	"AFTERBURN1"	""	0	0	0	0	0	0	0	32	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_RUIN_S2	""	"PYEXP_RUIN_S"	0	0	0	0	"SND_EXP_BS"	"FIRE_START"	""	""	0	0	0	0	0	0	0	32	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_RUIN_B1	""	"PYEXP_RUIN_B"	0	0	0	0	"SND_EXP_BB"	""	"LEJBIG1"	""	0	0	0	0	0	0	0	32	0
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE01	""	"NEXEDBBR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE02	""	"NEXEDBBR2"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE03	""	"NEXEDBBR3"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE04	""	"NEXEDBBR4"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE05	""	"NEXEDBBR5"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE11	""	"NEXEDBBR11"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE12	""	"NEXEDBBR12"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE13	""	"NEXEDBBR13"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE14	""	"NEXEDBBR14"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE15	""	"NEXEDBBR15"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE21	""	"NEXUCSBBR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE22	""	"NEXUCSBBR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE23	""	"NEXUCSBBR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE24	""	"NEXUCSBBR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE25	""	"NEXUCSBBR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE31	""	"NEXUCSBBR10"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE32	""	"NEXUCSBBR10"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE33	""	"NEXUCSBBR10"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE34	""	"NEXUCSBBR10"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BRIDGE01,EXP_BRIDGE02,EXP_BRIDGE03,EXP_BRIDGE04,EXP_BRIDGE05,EXP_BRIDGE11,EXP_BRIDGE12,EXP_BRIDGE13,EXP_BRIDGE14,EXP_BRIDGE15,EXP_BRIDGE21,EXP_BRIDGE22,EXP_BRIDGE23,EXP_BRIDGE24,EXP_BRIDGE25,EXP_BRIDGE31,EXP_BRIDGE32,EXP_BRIDGE33,EXP_BRIDGE34,EXP_BRIDGE35"	EXP_BRIDGE35	""	"NEXUCSBBR10"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	1
"EXP_BUILD_LC,EXP_BUILD_ED"	EXP_BUILD_LC	""	"PYEXP_LCB"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	0
"EXP_BUILD_LC,EXP_BUILD_ED"	EXP_BUILD_ED	""	"PYEXP_EDB"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	64	0
"EXP_CH1,EXP_CH2,EXP_CH3,EXP_CH4"	EXP_CH1	""	"PYEXP_CH_G"	0	0	0	0	"SND_EXP_CH1"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_CH1,EXP_CH2,EXP_CH3,EXP_CH4"	EXP_CH2	""	"PYEXP_CH_W"	0	0	0	0	"SND_EXP_CH2"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_CH1,EXP_CH2,EXP_CH3,EXP_CH4"	EXP_CH3	""	"PYEXP_CH_U"	0	0	0	0	"SND_EXP_CH1"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_CH1,EXP_CH2,EXP_CH3,EXP_CH4"	EXP_CH4	""	"PYEXP_CH_U"	0	0	0	0	"SND_EXP_CH3"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_EDUBS1,EXP_EDUBS2"	EXP_EDUBS1	""	"NEXEDUBS1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	112	0
"EXP_EDUBS1,EXP_EDUBS2"	EXP_EDUBS2	""	"NEXEDUBS2"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	112	0
"EXP_EL1,EXP_EL2,EXP_EL3,EXP_EL4,EXP_EL5"	EXP_EL1	""	"PYEXP_E"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_EL1,EXP_EL2,EXP_EL3,EXP_EL4,EXP_EL5"	EXP_EL2	""	"PYEXP_E"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_EL1,EXP_EL2,EXP_EL3,EXP_EL4,EXP_EL5"	EXP_EL3	""	"PYEXP_E"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_EL1,EXP_EL2,EXP_EL3,EXP_EL4,EXP_EL5"	EXP_EL4	""	"PYEXP_E"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_EQ1,EXP_EQ2,EXP_EQ3,EXP_EQ4"	EXP_EQ1	""	"PYEXP_AR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	1
"EXP_EQ1,EXP_EQ2,EXP_EQ3,EXP_EQ4"	EXP_EQ2	""	"PYEXP_AR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	1
"EXP_EQ1,EXP_EQ2,EXP_EQ3,EXP_EQ4"	EXP_EQ3	""	"PYEXP_AR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	1
"EXP_EQ1,EXP_EQ2,EXP_EQ3,EXP_EQ4"	EXP_EQ4	""	"PYEXP_AR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	1
"EXP_FIRE_BIG1,EXP_FIRE_BIG2,EXP_FIRE_BIG3,EXP_FIRE_BIG4"	EXP_FIRE_BIG1	""	"PYEXP_FB"	0	0	0	0	"SND_EXP_FB1"	"SMOKE_GROUND"	"LEJBIG1"	""	0	0	0	0	0	0	0	16	0
"EXP_FIRE_BIG1,EXP_FIRE_BIG2,EXP_FIRE_BIG3,EXP_FIRE_BIG4"	EXP_FIRE_BIG2	""	"PYEXP_F_W"	0	0	0	0	"SND_EXP_FB2"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_FIRE_BIG1,EXP_FIRE_BIG2,EXP_FIRE_BIG3,EXP_FIRE_BIG4"	EXP_FIRE_BIG3	""	"PYEXP_FB"	0	0	0	0	"SND_EXP_FB1"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_FIRE_BIG1,EXP_FIRE_BIG2,EXP_FIRE_BIG3,EXP_FIRE_BIG4"	EXP_FIRE_BIG4	""	"PYEXP_FB"	0	0	0	0	"SND_EXP_FB3"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_FIRE_MED1,EXP_FIRE_MED2,EXP_FIRE_MED3,EXP_FIRE_MED4"	EXP_FIRE_MED1	""	"PYEXP_FM_G"	0	0	0	0	"SND_EXP_FM1"	""	"LEJ1"	""	0	0	0	0	0	0	0	24	0
"EXP_FIRE_MED1,EXP_FIRE_MED2,EXP_FIRE_MED3,EXP_FIRE_MED4"	EXP_FIRE_MED2	""	"PYEXP_F_W"	0	0	0	0	"SND_EXP_FM2"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_FIRE_MED1,EXP_FIRE_MED2,EXP_FIRE_MED3,EXP_FIRE_MED4"	EXP_FIRE_MED3	""	"PYEXP_FM_U"	0	0	0	0	"SND_EXP_FM1"	""	""	""	0	0	0	0	0	0	0	16	0
