"group"	"objectID"	"neededResearches"	"shieldCost"	"shieldValue"	"reloadTime"	"shieldMeshName"	"shieldMeshViewIndex"
"SMALLGENLC2100S,MEDIUMGENLC2100M,BIGGENLC2100B"	MEDIUMGENLC2100M	"RES_LC_MGen"	260	1600	8	"NEMPS2"	1
"SMALLGENLC2100S,MEDIUMGENLC2100M,BIGGENLC2100B"	BIGGENLC2100B	"RES_LC_HGen"	360	2100	6	"NEMPS3"	1
"SMALLGENLC2400S,MEDIUMGENLC2400M,BIGGENLC2400B"	SMALLGENLC2400S	"RES_LC_SGen"	120	800	10	"NEMPS1"	1
"SMALLGENLC2400S,MEDIUMGENLC2400M,BIGGENLC2400B"	MEDIUMGENLC2400M	"RES_LC_MGen"	240	1600	8	"NEMPS2"	1
"SMALLGENLC2400S,MEDIUMGENLC2400M,BIGGENLC2400B"	BIGGENLC2400B	"RES_LC_HGen"	480	2400	6	"NEMPS3"	1
"SMALLGENLC2500S,MEDIUMGENLC2500M,BIGGENLC2500B"	SMALLGENLC2500S	"RES_LC_SGen"	140	1000	10	"NEMPS1"	1
"SMALLGENLC2500S,MEDIUMGENLC2500M,BIGGENLC2500B"	MEDIUMGENLC2500M	"RES_LC_MGen"	260	1800	8	"NEMPS2"	1
"SMALLGENLC2500S,MEDIUMGENLC2500M,BIGGENLC2500B"	BIGGENLC2500B	"RES_LC_HGen"	360	2500	6	"NEMPS3"	1
"SMALLGENLC2700S,MEDIUMGENLC2700M,BIGGENLC2700B"	SMALLGENLC2700S	"RES_LC_SGen"	140	900	10	"NEMPS1"	1
"SMALLGENLC2700S,MEDIUMGENLC2700M,BIGGENLC2700B"	MEDIUMGENLC2700M	"RES_LC_MGen"	260	1800	8	"NEMPS2"	1
"SMALLGENLC2700S,MEDIUMGENLC2700M,BIGGENLC2700B"	BIGGENLC2700B	"RES_LC_HGen"	360	2700	6	"NEMPS3"	1
"SMALLGENLC30000S,MEDIUMGENLC30000M,BIGGENLC30000B"	SMALLGENLC30000S	"RES_LC_SGen"	600	6000	8	"NEMPS1"	1
"SMALLGENLC30000S,MEDIUMGENLC30000M,BIGGENLC30000B"	MEDIUMGENLC30000M	"RES_LC_MGen"	900	12000	6	"NEMPS2"	1
"SMALLGENLC30000S,MEDIUMGENLC30000M,BIGGENLC30000B"	BIGGENLC30000B	"RES_LC_HGen"	1800	30000	4	"NEMPS3"	1
"SMALLGENLC3000S,MEDIUMGENLC3000M,BIGGENLC3000B"	SMALLGENLC3000S	"RES_LC_SGen"	140	1000	10	"NEMPS1"	1
"SMALLGENLC3000S,MEDIUMGENLC3000M,BIGGENLC3000B"	MEDIUMGENLC3000M	"RES_LC_MGen"	260	2000	8	"NEMPS2"	1
"SMALLGENLC3000S,MEDIUMGENLC3000M,BIGGENLC3000B"	BIGGENLC3000B	"RES_LC_HGen"	360	3000	6	"NEMPS3"	1
"SMALLGENLC300S,MEDIUMGENLC300M,BIGGENLC300B"	SMALLGENLC300S	"RES_LC_SGen"	15	100	10	"NEMPS1"	1
"SMALLGENLC300S,MEDIUMGENLC300M,BIGGENLC300B"	MEDIUMGENLC300M	"RES_LC_MGen"	30	200	8	"NEMPS2"	1
"SMALLGENLC300S,MEDIUMGENLC300M,BIGGENLC300B"	BIGGENLC300B	"RES_LC_HGen"	60	300	6	"NEMPS3"	1
"SMALLGENLC3600S,MEDIUMGENLC3600M,BIGGENLC3600B"	SMALLGENLC3600S	"RES_LC_SGen"	180	1200	10	"NEMPS1"	1
"SMALLGENLC3600S,MEDIUMGENLC3600M,BIGGENLC3600B"	MEDIUMGENLC3600M	"RES_LC_MGen"	360	2400	8	"NEMPS2"	1
"SMALLGENLC3600S,MEDIUMGENLC3600M,BIGGENLC3600B"	BIGGENLC3600B	"RES_LC_HGen"	720	3600	6	"NEMPS3"	1
"SMALLGENLC4200S,MEDIUMGENLC4200M,BIGGENLC4200B"	SMALLGENLC4200S	"RES_LC_SGen"	140	1400	10	"NEMPS1"	1
"SMALLGENLC4200S,MEDIUMGENLC4200M,BIGGENLC4200B"	MEDIUMGENLC4200M	"RES_LC_MGen"	260	2800	8	"NEMPS2"	1
"SMALLGENLC4200S,MEDIUMGENLC4200M,BIGGENLC4200B"	BIGGENLC4200B	"RES_LC_HGen"	360	4200	6	"NEMPS3"	1
"SMALLGENLC4800S,MEDIUMGENLC4800M,BIGGENLC4800B"	SMALLGENLC4800S	"RES_LC_SGen"	140	1600	10	"NEMPS1"	1
"SMALLGENLC4800S,MEDIUMGENLC4800M,BIGGENLC4800B"	MEDIUMGENLC4800M	"RES_LC_MGen"	260	3200	8	"NEMPS2"	1
"SMALLGENLC4800S,MEDIUMGENLC4800M,BIGGENLC4800B"	BIGGENLC4800B	"RES_LC_HGen"	360	4800	6	"NEMPS3"	1
"SMALLGENLC5400S,MEDIUMGENLC5400M,BIGGENLC5400B"	SMALLGENLC5400S	"RES_LC_SGen"	270	1800	10	"NEMPS1"	1
"SMALLGENLC5400S,MEDIUMGENLC5400M,BIGGENLC5400B"	MEDIUMGENLC5400M	"RES_LC_MGen"	540	3600	8	"NEMPS2"	1
"SMALLGENLC5400S,MEDIUMGENLC5400M,BIGGENLC5400B"	BIGGENLC5400B	"RES_LC_HGen"	1080	5400	6	"NEMPS3"	1
"SMALLGENLC6000S,MEDIUMGENLC6000M,BIGGENLC6000B"	SMALLGENLC6000S	"RES_LC_SGen"	300	2000	10	"NEMPS1"	1
"SMALLGENLC6000S,MEDIUMGENLC6000M,BIGGENLC6000B"	MEDIUMGENLC6000M	"RES_LC_MGen"	600	4000	8	"NEMPS2"	1
"SMALLGENLC6000S,MEDIUMGENLC6000M,BIGGENLC6000B"	BIGGENLC6000B	"RES_LC_HGen"	1200	6000	6	"NEMPS3"	1
"SMALLGENLC600S,MEDIUMGENLC600M,BIGGENLC600B"	SMALLGENLC600S	"RES_LC_SGen"	30	200	10	"NEMPS1"	1
"SMALLGENLC600S,MEDIUMGENLC600M,BIGGENLC600B"	MEDIUMGENLC600M	"RES_LC_MGen"	60	400	8	"NEMPS2"	1
"SMALLGENLC600S,MEDIUMGENLC600M,BIGGENLC600B"	BIGGENLC600B	"RES_LC_HGen"	120	600	6	"NEMPS3"	1
"SMALLGENLC7500S,MEDIUMGENLC7500M,BIGGENLC7500B"	SMALLGENLC7500S	"RES_LC_SGen"	375	2500	10	"NEMPS1"	1
"SMALLGENLC7500S,MEDIUMGENLC7500M,BIGGENLC7500B"	MEDIUMGENLC7500M	"RES_LC_MGen"	750	5000	8	"NEMPS2"	1
"SMALLGENLC7500S,MEDIUMGENLC7500M,BIGGENLC7500B"	BIGGENLC7500B	"RES_LC_HGen"	1500	7500	6	"NEMPS3"	1
"SMALLGENLC9000S,MEDIUMGENLC9000M,BIGGENLC9000B"	SMALLGENLC9000S	"RES_LC_SGen"	600	3000	10	"NEMPS1"	1
"SMALLGENLC9000S,MEDIUMGENLC9000M,BIGGENLC9000B"	MEDIUMGENLC9000M	"RES_LC_MGen"	900	6000	8	"NEMPS2"	1
"SMALLGENLC9000S,MEDIUMGENLC9000M,BIGGENLC9000B"	BIGGENLC9000B	"RES_LC_HGen"	1800	9000	6	"NEMPS3"	1
"SMALLGENLC900S,MEDIUMGENLC900M,BIGGENLC900B"	SMALLGENLC900S	"RES_LC_SGen"	45	300	10	"NEMPS1"	1
"SMALLGENLC900S,MEDIUMGENLC900M,BIGGENLC900B"	MEDIUMGENLC900M	"RES_LC_MGen"	90	600	8	"NEMPS2"	1
"SMALLGENLC900S,MEDIUMGENLC900M,BIGGENLC900B"	BIGGENLC900B	"RES_LC_HGen"	180	900	6	"NEMPS3"	1
